Date : 2025-06-25 08:54:07
Directory : c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend
Total : 523 files,  -67138 codes, -5266 comments, -17308 blanks, all -89712 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ..\backend\app\core                                                                                                                                       |          9 |     -1,423 |       -151 |       -336 |     -1,910 |
| ..\backend\app\crud                                                                                                                                       |          3 |       -202 |        -15 |        -48 |       -265 |
| ..\backend\app\monitoring                                                                                                                                 |          5 |     -1,746 |       -110 |       -424 |     -2,280 |
| ..\backend\app\schemas                                                                                                                                    |          4 |       -240 |         -2 |        -44 |       -286 |
| ..\backend\app\services                                                                                                                                   |         94 |    -29,103 |     -2,879 |     -6,544 |    -38,526 |
| ..\backend\app\services (Files)                                                                                                                           |         43 |    -19,050 |     -1,797 |     -4,109 |    -24,956 |
| ..\backend\app\services\ai                                                                                                                                |          4 |       -738 |        -92 |       -170 |     -1,000 |
| ..\backend\app\services\drawing_tasks                                                                                                                     |          4 |       -885 |        -89 |       -213 |     -1,187 |
| ..\backend\app\services\dwg_processing                                                                                                                    |         19 |     -1,696 |       -146 |       -392 |     -2,234 |
| ..\backend\app\services\dwg_processing (Files)                                                                                                            |          1 |        -14 |         -6 |         -4 |        -24 |
| ..\backend\app\services\dwg_processing\converters                                                                                                         |          3 |       -292 |        -27 |        -82 |       -401 |
| ..\backend\app\services\dwg_processing\core                                                                                                               |          2 |       -176 |        -17 |        -38 |       -231 |
| ..\backend\app\services\dwg_processing\detectors                                                                                                          |          5 |       -640 |        -51 |       -152 |       -843 |
| ..\backend\app\services\dwg_processing\exporters                                                                                                          |          2 |       -243 |        -16 |        -47 |       -306 |
| ..\backend\app\services\dwg_processing\processors                                                                                                         |          3 |       -316 |        -17 |        -64 |       -397 |
| ..\backend\app\services\dwg_processing\utils                                                                                                              |          3 |        -15 |        -12 |         -5 |        -32 |
| ..\backend\app\services\grid_slice                                                                                                                        |          6 |     -1,251 |       -131 |       -273 |     -1,655 |
| ..\backend\app\services\ocr                                                                                                                               |          7 |     -2,214 |       -271 |       -518 |     -3,003 |
| ..\backend\app\services\result_mergers                                                                                                                    |          7 |     -2,512 |       -283 |       -697 |     -3,492 |
| ..\backend\app\services\vision                                                                                                                            |          4 |       -757 |        -70 |       -172 |       -999 |
| ..\backend\app\tasks                                                                                                                                      |          7 |     -2,137 |       -242 |       -433 |     -2,812 |
| ..\backend\app\utils                                                                                                                                      |          6 |       -895 |        -92 |       -620 |     -1,607 |
| ..\backend\demo_output                                                                                                                                    |          1 |        -30 |          0 |          0 |        -30 |
| ..\backend\output                                                                                                                                         |          3 |       -870 |          0 |          0 |       -870 |
| ..\backend\output\sample_floorplan                                                                                                                        |          3 |       -870 |          0 |          0 |       -870 |
| ..\backend\storage                                                                                                                                        |          3 |       -150 |          0 |          0 |       -150 |
| ..\backend\storage\sealos_fallback                                                                                                                        |          3 |       -150 |          0 |          0 |       -150 |
| ..\backend\storage\sealos_fallback\ocr_results                                                                                                            |          2 |        -30 |          0 |          0 |        -30 |
| ..\backend\storage\sealos_fallback\ocr_results\5                                                                                                          |          1 |        -15 |          0 |          0 |        -15 |
| ..\backend\storage\sealos_fallback\ocr_results\6                                                                                                          |          1 |        -15 |          0 |          0 |        -15 |
| ..\backend\storage\sealos_fallback\slices                                                                                                                 |          1 |       -120 |          0 |          0 |       -120 |
| ..\backend\storage\sealos_fallback\slices\test_task_001                                                                                                   |          1 |       -120 |          0 |          0 |       -120 |
| ..\backend\test_optimized_output                                                                                                                          |          2 |       -115 |          0 |          0 |       -115 |
| ..\backend\test_optimized_output (Files)                                                                                                                  |          1 |        -26 |          0 |          0 |        -26 |
| ..\backend\test_optimized_output\test_task_1750597463_exports                                                                                             |          1 |        -89 |          0 |          0 |        -89 |
| ..\backend\test_output                                                                                                                                    |          1 |       -324 |          0 |          0 |       -324 |
| ..\backend\tests                                                                                                                                          |          5 |       -842 |        -86 |       -279 |     -1,207 |
| ..\backend\tests (Files)                                                                                                                                  |          2 |       -165 |        -17 |        -39 |       -221 |
| ..\backend\tests\integration                                                                                                                              |          1 |       -206 |        -18 |        -70 |       -294 |
| ..\backend\tests\performance                                                                                                                              |          1 |       -242 |        -41 |        -96 |       -379 |
| ..\backend\tests\unit                                                                                                                                     |          1 |       -229 |        -10 |        -74 |       -313 |
| components                                                                                                                                                |          1 |        285 |          6 |         22 |        313 |
| public                                                                                                                                                    |          2 |         29 |          7 |          5 |         41 |
| src                                                                                                                                                       |         53 |     11,473 |        638 |      1,398 |     13,509 |
| src (Files)                                                                                                                                               |          1 |         29 |          0 |          3 |         32 |
| src\components                                                                                                                                            |         26 |      6,742 |        284 |        773 |      7,799 |
| src\components (Files)                                                                                                                                    |         22 |      5,894 |        256 |        694 |      6,844 |
| src\components\auth                                                                                                                                       |          1 |         80 |          2 |          8 |         90 |
| src\components\drawings                                                                                                                                   |          3 |        768 |         26 |         71 |        865 |
| src\hooks                                                                                                                                                 |          4 |      1,074 |        109 |        171 |      1,354 |
| src\pages                                                                                                                                                 |         14 |      2,298 |        112 |        304 |      2,714 |
| src\pages (Files)                                                                                                                                         |         12 |      2,243 |        110 |        294 |      2,647 |
| src\pages\drawings                                                                                                                                        |          2 |         55 |          2 |         10 |         67 |
| src\services                                                                                                                                              |          1 |        196 |         14 |         28 |        238 |
| src\styles                                                                                                                                                |          1 |         16 |          0 |          3 |         19 |
| src\types                                                                                                                                                 |          1 |        114 |          5 |          8 |        127 |
| src\utils                                                                                                                                                 |          5 |      1,004 |        114 |        108 |      1,226 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                  | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ABC_CLEANUP_REPORT.md                                                                      | Markdown           |        -72 |          0 |        -25 |        -97 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\AI_COMPONENTS_EXTRACTION_FIX_REPORT.md                                                     | Markdown           |       -134 |          0 |        -32 |       -166 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\AI_OCR_配置说明.md                                                                             | Markdown           |       -159 |          0 |        -53 |       -212 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\AI_UPGRADE_REPORT.md                                                                       | Markdown           |       -168 |          0 |        -60 |       -228 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\API接口说明.md                                                                                 | Markdown           |       -280 |          0 |        -44 |       -324 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ARCHITECTURE_REFACTOR_COMPLETE.md                                                          | Markdown           |       -251 |          0 |        -52 |       -303 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\AnalysisLogger修复完成报告.md                                                                    | Markdown           |       -138 |          0 |        -39 |       -177 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\B阶段清理完成验证报告.md                                                                             | Markdown           |       -168 |          0 |        -40 |       -208 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\B阶段清理总结报告.md                                                                               | Markdown           |       -141 |          0 |        -32 |       -173 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\CELERY_PROBLEM_DIAGNOSIS.md                                                                | Markdown           |       -121 |          0 |        -32 |       -153 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\CELERY_STARTUP_GUIDE.md                                                                    | Markdown           |       -169 |          0 |        -58 |       -227 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\CLEANUP_SUMMARY_REPORT.md                                                                  | Markdown           |       -186 |          0 |        -40 |       -226 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\CODE_REVIEW_CHECKLIST.md                                                                   | Markdown           |       -147 |          0 |        -36 |       -183 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\DUPLICATE_COMPONENTS_ANALYSIS.md                                                           | Markdown           |       -183 |          0 |        -34 |       -217 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\DWG_FINE_GRAINED_REFACTORING_COMPLETE.md                                                   | Markdown           |       -182 |          0 |        -47 |       -229 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\DWG_PROCESSOR_REFACTORING_COMPLETE.md                                                      | Markdown           |       -147 |          0 |        -34 |       -181 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\DWG_PROCESSOR_REFACTORING_PLAN.md                                                          | Markdown           |       -130 |          0 |        -24 |       -154 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\DWG处理器完整实现总结.md                                                                            | Markdown           |       -380 |          0 |        -70 |       -450 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\DWG处理器重构完成报告.md                                                                            | Markdown           |       -158 |          0 |        -43 |       -201 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\DWG多图框处理功能实现总结.md                                                                          | Markdown           |       -243 |          0 |        -60 |       -303 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\DWG文件支持说明.md                                                                               | Markdown           |       -136 |          0 |        -44 |       -180 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ENVIRONMENT_SETUP.md                                                                       | Markdown           |        -51 |          0 |        -20 |        -71 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\FINAL_CLEANUP_REPORT.md                                                                    | Markdown           |       -189 |          0 |        -37 |       -226 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\GPT4O_MULTIMODAL_GUIDE.md                                                                  | Markdown           |       -218 |          0 |        -50 |       -268 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\GPT智能分析功能重新启用完成报告.md                                                                       | Markdown           |        -36 |          0 |          0 |        -36 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\JSON解析失败修复完成报告.md                                                                          | Markdown           |       -118 |          0 |        -36 |       -154 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OCR_FIX_VERIFICATION_RESULT.json                                                           | JSON               |        -28 |          0 |          0 |        -28 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OCR_MODULE_INTEGRATION_COMPLETE.md                                                         | Markdown           |       -136 |          0 |        -48 |       -184 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OCR_SAVE_ISSUE_COMPLETELY_FIXED.md                                                         | Markdown           |       -115 |          0 |        -26 |       -141 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OCR_SAVE_ISSUE_FIXED.md                                                                    | Markdown           |       -122 |          0 |        -34 |       -156 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OCR_STORAGE_ISSUE_RESOLVED.md                                                              | Markdown           |       -137 |          0 |        -40 |       -177 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OCR修复说明.md                                                                                 | Markdown           |       -122 |          0 |        -33 |       -155 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OCR和构件识别优化完成报告.md                                                                          | Markdown           |       -159 |          0 |        -48 |       -207 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OCR智能纠正功能完整实现报告.md                                                                         | Markdown           |       -212 |          0 |        -42 |       -254 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\OpenAI会话记录Sealos保存状态确认报告.md                                                                | Markdown           |       -131 |          0 |        -34 |       -165 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\PLAYGROUND_SETUP.md                                                                        | Markdown           |       -111 |          0 |        -31 |       -142 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\PROGRESS_SUMMARY.md                                                                        | Markdown           |       -198 |          0 |        -52 |       -250 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\PaddleOCR_AutoResize_Configuration_Guide.md                                                | Markdown           |       -168 |          0 |        -45 |       -213 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\PaddleOCR_TXT_Save_功能说明.md                                                                 | Markdown           |       -160 |          0 |        -40 |       -200 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\PaddleOCR优化报告.md                                                                           | Markdown           |       -135 |          0 |        -56 |       -191 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\PaddleOCR合并算法四大目标优化完成报告.md                                                                 | Markdown           |       -189 |          0 |        -57 |       -246 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\PaddleOCR四大目标优化最终报告.md                                                                     | Markdown           |       -224 |          0 |        -73 |       -297 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\Processing_Time_类型错误修复报告.md                                                                | Markdown           |        -99 |          0 |        -27 |       -126 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\README_CELERY_WINDOWS.md                                                                   | Markdown           |        -62 |          0 |        -26 |        -88 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ROUTE_MAPPING_TABLE.md                                                                     | Markdown           |       -225 |          0 |        -60 |       -285 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ROUTE_REFACTOR_SUMMARY.md                                                                  | Markdown           |       -118 |          0 |        -43 |       -161 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\SEALOS_DEPLOYMENT_GUIDE.md                                                                 | Markdown           |       -196 |          0 |        -74 |       -270 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\SEALOS_EXTRACTION_STORAGE_GUIDE.md                                                         | Markdown           |       -157 |          0 |        -34 |       -191 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\SEALOS_OCR_STORAGE_GUIDE.md                                                                | Markdown           |       -199 |          0 |        -39 |       -238 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\START_GUIDE.md                                                                             | Markdown           |       -141 |          0 |        -40 |       -181 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\SYSTEM_INTEGRATION_REPORT.md                                                               | Markdown           |       -157 |          0 |        -39 |       -196 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\SYSTEM_STATUS_FINAL.md                                                                     | Markdown           |       -174 |          0 |        -43 |       -217 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\SYSTEM_STATUS_REPORT.md                                                                    | Markdown           |       -246 |          0 |        -74 |       -320 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\UNIFIED_PIPELINE_ARCHITECTURE.md                                                           | Markdown           |       -164 |          0 |        -45 |       -209 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\Vision重复分析修复完成报告.md                                                                        | Markdown           |       -171 |          0 |        -46 |       -217 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\WEBSOCKET_FIXES.md                                                                         | Markdown           |       -134 |          0 |        -28 |       -162 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\WebSocket连接问题修复完成报告.md                                                                     | Markdown           |       -139 |          0 |        -41 |       -180 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\WebSocket连接问题修复报告.md                                                                       | Markdown           |       -125 |          0 |        -34 |       -159 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\XML格式错误和TypeScript类型错误修复完成报告.md                                                            | Markdown           |       -198 |          0 |        -43 |       -241 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\YOLO模型状态说明.md                                                                              | Markdown           |       -118 |          0 |        -29 |       -147 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ai_extractor_test_results.json                                                             | JSON               |       -358 |          0 |          0 |       -358 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\alembic.ini                                                                                | Ini                |        -92 |          0 |        -25 |       -117 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\alembic\env.py                                                                             | Python             |        -52 |        -12 |        -23 |        -87 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\alembic\versions\3856cf9ae086_add_separate_fields_for_dual_track_.py                       | Python             |        -81 |         -5 |         -9 |        -95 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\alembic\versions\4d23052f2c95_create_initial_tables.py                                     | Python             |        -38 |         -5 |        -10 |        -53 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\alembic\versions\6e573f0edec3_add_file_size_column.py                                      | Python             |        -16 |         -3 |        -10 |        -29 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\alembic\versions\fe6acbbdd10a_add_ocr_correction_fields.py                                 | Python             |        -20 |         -3 |        -10 |        -33 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\analyze_ocr_issues.py                                                                      | Python             |       -212 |        -34 |        -58 |       -304 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\analyze_ocr_quality.py                                                                     | Python             |       -158 |        -27 |        -48 |       -233 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\api\v1\endpoints\playground.py                                                             | Python             |       -310 |        -12 |        -34 |       -356 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\api_response_test.json                                                                     | JSON               |       -319 |          0 |          0 |       -319 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\__init__.py                                                                            | Python             |          0 |         -1 |          0 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\deps.py                                                                            | Python             |       -107 |         -5 |        -14 |       -126 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\api.py                                                                          | Python             |        -96 |        -23 |        -23 |       -142 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\__init__.py                                                            | Python             |        -19 |         -2 |         -4 |        -25 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\config.py                                                              | Python             |        -38 |         -2 |         -6 |        -46 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\delete.py                                                              | Python             |       -196 |        -14 |        -34 |       -244 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\export.py                                                              | Python             |       -293 |        -29 |        -59 |       -381 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\list.py                                                                | Python             |       -355 |        -22 |        -61 |       -438 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\process.py                                                             | Python             |       -336 |        -22 |        -48 |       -406 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\processor.py                                                           | Python             |       -117 |         -4 |        -14 |       -135 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\status.py                                                              | Python             |        -98 |         -7 |        -11 |       -116 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\upload.py                                                              | Python             |       -187 |        -23 |        -44 |       -254 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\auth.py                                                               | Python             |        -64 |          0 |         -6 |        -70 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\components.py                                                         | Python             |       -338 |        -14 |        -53 |       -405 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\debug.py                                                              | Python             |        -79 |         -7 |        -18 |       -104 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\export.py                                                             | Python             |       -512 |        -46 |        -96 |       -654 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\ocr_slice.py                                                          | Python             |       -267 |        -13 |        -50 |       -330 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\playground.py                                                         | Python             |       -310 |        -12 |        -34 |       -356 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\vision_analysis.py                                                    | Python             |       -268 |        -23 |        -53 |       -344 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\vision_slice.py                                                       | Python             |       -382 |        -25 |        -67 |       -474 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\endpoints\websocket_v2.py                                                       | Python             |       -187 |        -10 |        -37 |       -234 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\tasks.py                                                                        | Python             |       -260 |        -23 |        -49 |       -332 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\users.py                                                                        | Python             |       -240 |        -11 |        -22 |       -273 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\ws_router.py                                                                    | Python             |       -110 |        -14 |        -17 |       -141 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\config\model_config.py                                                                 | Python             |        -80 |         -4 |        -13 |        -97 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\config\ocr_config.py                                                                   | Python             |        -78 |         -6 |        -16 |       -100 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\__init__.py                                                                       | Python             |          0 |         -1 |          0 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\cache.py                                                                          | Python             |        -23 |          0 |         -6 |        -29 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\celery_app.py                                                                     | Python             |        -73 |        -14 |        -13 |       -100 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\celery_config.py                                                                  | Python             |        -91 |        -18 |        -18 |       -127 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\config.py                                                                         | Python             |       -108 |        -24 |        -29 |       -161 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\data_structures.py                                                                | Python             |       -458 |        -41 |        -98 |       -597 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\file_strategy.py                                                                  | Python             |       -215 |        -21 |        -56 |       -292 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\security.py                                                                       | Python             |        -35 |          0 |         -7 |        -42 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\core\websocket_manager.py                                                              | Python             |       -420 |        -32 |       -109 |       -561 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\crud\__init__.py                                                                       | Python             |         -7 |         -1 |         -2 |        -10 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\crud\drawings.py                                                                       | Python             |        -42 |          0 |         -5 |        -47 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\crud\users.py                                                                          | Python             |       -153 |        -14 |        -41 |       -208 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\database.py                                                                            | Python             |       -148 |        -15 |        -18 |       -181 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\main.py                                                                                | Python             |        -78 |        -12 |        -18 |       -108 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\monitoring\__init__.py                                                                 | Python             |        -25 |          0 |         -5 |        -30 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\monitoring\error_logger.py                                                             | Python             |       -579 |        -33 |       -133 |       -745 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\monitoring\memory_tracker.py                                                           | Python             |       -397 |        -32 |       -101 |       -530 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\monitoring\performance_monitor.py                                                      | Python             |       -262 |        -16 |        -61 |       -339 |
